booking_id,booking_date,travel_date,customer_id,cust_segment,tour_type,channel,payment_method,destination,pax,base_price_vnd,discount_rate,booking_status,revenue_vnd,satisfaction,is_returning,DateAnomaly
B02553,2023-08-20,2023-09-24,C0001,Student,Family,Website,Cash,Đà Lạt,1,3093000.0,0.1309524064461386,Completed,2688000.0,4.0,True,False
B00434,2025-02-24,2025-03-22,C0001,Family,Family,Mobile App,Cash,Đà Lạt,5,3690000.0,0.127,Completed,16107000.0,4.7,False,False
B01830,2022-09-24,2022-11-16,C0002,Family,City Break,Mobile App,Card,Đà Lạt,4,2362000.0,0.0948698444376751,Completed,8552000.0,4.5,True,False
B02944,2024-01-30,2024-03-02,C0002,Family,Beach,Website,Card,Hà Nội,1,4220000.0,0.1716189437267367,Completed,3496000.0,4.4,True,False
B00871,2024-08-01,2024-08-20,C0002,Young Professional,City Break,Mobile App,Card,Đà Lạt,1,2596000.0,0.067,Completed,2422000.0,3.7,False,False
B04167,2025-07-05,2025-09-17,C0002,Family,Family,Mobile App,Bank Transfer,Đà Lạt,1,2633000.0,0.1209362464829608,Completed,2315000.0,3.7,True,False
B00815,2024-04-07,2024-06-14,C0003,Corporate,Foodie,Website,Card,Nha Trang,2,2248000.0,0.034,Completed,4343000.0,4.1,False,False
B03755,2025-01-08,2025-03-23,C0003,Family,Cultural,Website,Card,Phú Quốc,4,2586000.0,0.0497158813762957,Completed,9830000.0,3.8,True,False
B01271,2022-02-01,2022-02-10,C0004,Family,Cultural,Agent,Bank Transfer,Sa Pa,1,2781000.0,0.0284936111724611,Completed,2702000.0,4.0,True,False
B03353,2024-07-18,2024-09-05,C0004,Family,Beach,Agent,Card,Hội An,1,3987000.0,0.1311361969882473,Completed,3464000.0,3.5,True,False
B00891,2025-04-30,2025-05-24,C0004,Family,Cultural,Agent,Cash,Phú Quốc,2,2104000.0,0.148,Completed,3585000.0,4.1,False,False
B01121,2025-06-07,2025-06-26,C0004,Family,Cultural,Website,E-wallet,Đà Lạt,1,2621000.0,0.025,Completed,2555000.0,4.1,True,False
B00485,2025-06-23,2025-07-08,C0004,Family,Family,Mobile App,Card,TP.HCM,4,3124000.0,0.043,Completed,11959000.0,3.5,True,False
B00159,2025-08-22,2025-10-17,C0004,Family,Beach,Mobile App,Bank Transfer,Hạ Long,2,2995000.0,0.048,Completed,5702000.0,3.3,True,False
B01476,2022-05-03,2022-07-01,C0005,Student,Beach,Agent,E-wallet,TP.HCM,1,4110000.0,0.188713385845188,Completed,3334000.0,4.8,True,False
B01588,2022-06-21,2022-08-10,C0005,Family,Family,Website,Bank Transfer,Phú Quốc,4,3937000.0,0.0948844623219533,Completed,14254000.0,4.6,True,False
B02333,2023-05-11,2023-07-06,C0005,Corporate,Cultural,Mobile App,E-wallet,Hạ Long,2,2867000.0,0.0533983562697688,Completed,5428000.0,4.7,True,False
B02648,2023-10-01,2023-12-31,C0005,,Beach,Website,Card,Sa Pa,2,4013000.0,0.1527798539422971,Completed,6800000.0,4.8,True,False
B00559,2024-01-16,2024-04-13,C0005,Student,Cultural,Website,Card,Phú Quốc,2,2745000.0,0.188,Completed,4458000.0,4.6,False,False
B04226,2025-07-25,2025-09-23,C0005,Young Professional,Family,Agent,Bank Transfer,Nha Trang,2,3633000.0,0.1065632115241919,Completed,6492000.0,4.1,True,False
B00582,2025-09-11,2025-10-22,C0005,Student,Adventure,Website,Card,Đà Lạt,1,5962000.0,0.088,Completed,5437000.0,4.7,True,False
B01780,2022-09-02,2022-11-26,C0006,Young Professional,Cultural,Website,Card,Hà Nội,3,2778000.0,0.0976142232590015,Completed,7520000.0,3.6,True,False
B01153,2024-06-27,2024-08-30,C0006,Corporate,City Break,Mobile App,Card,Hạ Long,3,2378000.0,0.031,Completed,6913000.0,3.8,False,False
B00664,2024-07-19,2024-10-04,C0006,Corporate,Cultural,Agent,Cash,Hội An,2,1828000.0,0.118,Completed,3225000.0,4.4,True,False
B03930,2025-04-07,2025-06-23,C0006,Family,Beach,Mobile App,Bank Transfer,Đà Lạt,3,3833000.0,0.1307858900547298,Completed,9995000.0,4.5,True,False
